"Geo","Year","HhPropIncQ1","HhPropIncQ2","HhPropIncQ3","HhPropIncQ4"
1611,2019,0.298024789240955,0.276285814521432,0.263558262333613,0.162131133904001
1612,2019,0.298108271019783,0.27612580606611,0.263608657674474,0.162157265239633
1613,2019,0.297622963919917,0.278441248707926,0.262794682227967,0.16114110514419
1614,2019,0.284194999825358,0.342507181717924,0.240272809065824,0.133025009390894
1615,2019,0.0958623739623374,0.208650167962449,0.218500591513693,0.47698686656152
1616,2019,0.114554358488269,0.169449181169003,0.20394526005876,0.512051200283968
1617,2019,0.0970175375851478,0.208531906521902,0.219295020522482,0.475155535370468
1618,2019,0.17508415134758,0.239443383579132,0.257685075832344,0.327787389240943
1619,2019,0.0951401465941782,0.207156679021846,0.218677097187771,0.479026077196205
1620,2019,0.096070635722732,0.207936348377642,0.218427888290984,0.477565127608642
1621,2019,0.0702332639631661,0.131372392151163,0.208214989502207,0.590179354383464
1622,2019,0.0957751915203698,0.208439832437377,0.218477690829014,0.477307285213239
1623,2019,0.0705684018644996,0.132124677748524,0.20827699686944,0.589029923517537
1624,2019,0.0702647001257037,0.131450457176465,0.208501906912066,0.589782935785765
1625,2019,0.0701736841952691,0.131311261560184,0.208205382424223,0.590309671820323
1626,2019,0.0767001470831039,0.134925622008824,0.21039059118804,0.577983639720032
1627,2019,0.107499086565318,0.190533024124782,0.317572422279368,0.384395467030532
1628.01,2019,0.26537563039855,0.203973605311995,0.25113282431072,0.279517939978736
1628.02,2019,0.265452143078058,0.204051306395108,0.25105598987082,0.279440560656015
1628.03,2019,0.265653412714434,0.203891113628685,0.250862053820477,0.279593419836404
1629,2019,0.263969446304382,0.204279574092493,0.25208922728594,0.279661752317186
1630.01,2019,0.22781412240113,0.215263280984624,0.28766457606927,0.269258020544976
1630.02,2019,0.227618350334588,0.215555418117492,0.287603469673716,0.269222761874205
1631,2019,0.22853044540458,0.216206646637345,0.286983592567853,0.268279315390222
1632.01,2019,0.259907826425762,0.25910168827533,0.255262173960859,0.225728311338048
1632.02,2019,0.260256210693163,0.259137504338524,0.255098237225343,0.225508047742971
1632.03,2019,0.261329027762091,0.259782429346859,0.254631925251575,0.224256617639475
1632.04,2019,0.26012996093032,0.259226310133045,0.255558195168749,0.225085533767886
1633,2019,0.265147042796775,0.206035314294074,0.251310907935829,0.277506734973322
1634,2019,0.259682438762421,0.259507241609206,0.255394838503052,0.22541548112532
1635,2019,0.258846619163089,0.246972547972218,0.275280163403545,0.218900669461149
1636,2019,0.15262320186703,0.147416365544381,0.213760038624473,0.486200393964116
1637,2019,0.272685052957254,0.313862768832226,0.313470212182566,0.0999819660279535
1638.01,2019,0.273195062177185,0.316636357080866,0.308355177251215,0.101813403490734
1638.02,2019,0.254982432342401,0.299794830744777,0.288732341394263,0.156490395518559
1639.01,2019,0.234468889914471,0.287730126383276,0.262875801651749,0.214925182050504
1639.02,2019,0.233724626392964,0.287091894920896,0.261929317620458,0.217254161065682
1640,2019,0.234011212797062,0.287465747305707,0.261771238059621,0.21675180183761
1641,2019,0.235707952844161,0.288519756467983,0.260830181859573,0.214942108828283
1642,2019,0.259026651998159,0.395245587490284,0.243646539456208,0.10208122105535
1643,2019,0.261742513979621,0.304547536543325,0.246157155726954,0.187552793750101
1644,2019,0.101453046333094,0.213876146517996,0.289220443877635,0.395450363271275
1645,2019,0.259436022147824,0.394830109657555,0.244372713445501,0.10136115474912
1646,2019,0.281130302812555,0.274600193802249,0.282022823838576,0.162246679546619
1647.01,2019,0.25861848712271,0.394994441611003,0.244008455320576,0.102378615945711
1647.02,2019,0.256805263200877,0.393629577649172,0.244573094491706,0.104992064658245
1648,2019,0.242521971455223,0.311072570691576,0.257387146993199,0.189018310860002
1649,2019,0.334318167542739,0.344140433031309,0.177993320747239,0.143548078678713
1650,2019,0.281328535223357,0.274423165585299,0.281885459964537,0.162362839226807
1651,2019,0.139820775692549,0.137438681811179,0.259142860998785,0.463597681497486
1652.01,2019,0.241347537120548,0.372124147525806,0.331982051970185,0.05454626338346
1652.02,2019,0.242625800564645,0.374744860187515,0.330979568673545,0.0516497705742948
1653,2019,0.151498287550859,0.146281790223027,0.213116990242586,0.489102931983527
1654.01,2019,0.140588486666446,0.139168095109342,0.258575153732552,0.46166826449166
1654.02,2019,0.139223228344846,0.13683628466848,0.258581990376259,0.465358496610415
1655,2019,0.210691447662049,0.281123918528856,0.233927177091553,0.274257456717542
1656,2019,0.317320025856904,0.314865638174821,0.233680313500155,0.13413402246812
1657,2019,0.328180707749615,0.321843363167923,0.228943549838331,0.121032379244131
1658,2019,0.214030673156493,0.285382074356922,0.23272030085951,0.267866951627074
1659,2019,0.0671666044887118,0.131150354933886,0.313362301684658,0.488320738892743
1660,2019,0.315741580227985,0.335072649226693,0.191276467308979,0.157909303236343
1661,2019,0.0719226947073833,0.132845641933047,0.310991969896453,0.484239693463117
1662.01,2019,0.385180747407,0.27748869440473,0.175889396013336,0.161441162174934
1662.02,2019,0.388911605106196,0.278750648487381,0.173518669073358,0.158819077333066
1662.03,2019,0.389001151875784,0.278665090240117,0.173395160793451,0.158938597090648
1663,2019,0.359400268937405,0.275167629424624,0.188283004629501,0.177149097008471
1664,2019,0.332547382394719,0.272100253958102,0.201742176092736,0.193610187554443
1665.01,2019,0.285138568648185,0.324610423117531,0.206302305301876,0.183948702932408
1665.02,2019,0.2384369431492,0.308781862473986,0.259988953410556,0.192792240966258
1666,2019,0.102026157395776,0.214121044943657,0.289003122293766,0.394849675366801
1667,2019,0.101128759739783,0.213656182341907,0.289280120918265,0.395934937000045
1668,2019,0.100943177688139,0.213478528303138,0.289368748837562,0.39620954517116
1669,2019,0.0732071723275955,0.134624164343809,0.306600814618348,0.485567848710247
1670,2019,0.073269992978244,0.134529001561021,0.306633725394441,0.485567280066295
1671,2019,0.117130349751637,0.193321129353291,0.342214813457673,0.3473337074374
1672.01,2019,0.125319486771409,0.18980364203602,0.338941186627238,0.345935684565334
1672.02,2019,0.125606024725687,0.190856098275535,0.338396752617341,0.345141124381438
1673.01,2019,0.192208557420453,0.373635046052741,0.236872798752798,0.197283597774008
1673.02,2019,0.189089205657949,0.370036355074941,0.239431610033642,0.201442829233468
1673.03,2019,0.191292412255565,0.37452710030108,0.236602764201397,0.197577723241959
1674,2019,0.105566095454609,0.190114192550854,0.281644948599605,0.422674763394932
1675.01,2019,0.191239053107482,0.374521703424203,0.236610464061932,0.197628779406383
1675.02,2019,0.190868570602843,0.373943915999357,0.237043552207939,0.19814396118986
1676.01,2019,0.191323745509214,0.374668795260592,0.236527742595145,0.197479716635049
1676.02,2019,0.191323745509214,0.374668795260592,0.236527742595145,0.197479716635049
